"Time","Value"
2023-09-18 14:18:00,0.52
2023-09-18 14:19:00,0.52
2023-09-18 14:20:00,0.52
2023-09-18 14:21:00,0.52
2023-09-18 14:22:00,0.52
2023-09-18 14:23:00,0.52
2023-09-18 14:24:00,0.52
2023-09-18 14:25:00,0.52
2023-09-18 14:26:00,0.52
2023-09-18 14:27:00,0.52
2023-09-18 14:28:00,0.52
2023-09-18 14:29:00,0.52
2023-09-18 14:30:00,0.52
2023-09-18 14:31:00,0.52
2023-09-18 14:32:00,0.52
2023-09-18 14:33:00,0.52
2023-09-18 14:34:00,0.52
2023-09-18 14:35:00,0.52
2023-09-18 14:36:00,0.52
2023-09-18 14:37:00,0.52
2023-09-18 14:38:00,0.52
2023-09-18 14:39:00,0.52
2023-09-18 14:40:00,0.52
2023-09-18 14:41:00,0.52
2023-09-18 14:42:00,0.52
2023-09-18 14:43:00,0.52
2023-09-18 14:44:00,0.52
2023-09-18 14:45:00,0.52
2023-09-18 14:46:00,0.52
2023-09-18 14:47:00,0.52
2023-09-18 14:48:00,0.52
2023-09-18 14:49:00,0.52
2023-09-18 14:50:00,0.52
2023-09-18 14:51:00,0.52
2023-09-18 14:52:00,0.52
2023-09-18 14:53:00,0.52
2023-09-18 14:54:00,0.52
2023-09-18 14:55:00,0.52
2023-09-18 14:56:00,0.52
2023-09-18 14:57:00,0.52
2023-09-18 14:58:00,0.52
2023-09-18 14:59:00,0.52
2023-09-18 15:00:00,0.52
2023-09-18 15:01:00,0.52
2023-09-18 15:02:00,0.52
2023-09-18 15:03:00,0.52
2023-09-18 15:04:00,0.52
2023-09-18 15:05:00,0.52
2023-09-18 15:06:00,0.52
2023-09-18 15:07:00,0.52
2023-09-18 15:08:00,0.52
2023-09-18 15:09:00,0.52
2023-09-18 15:10:00,0.52
2023-09-18 15:11:00,0.52
2023-09-18 15:12:00,0.52
2023-09-18 15:13:00,0.52
2023-09-18 15:14:00,0.52
2023-09-18 15:15:00,0.52
2023-09-18 15:16:00,0.52
2023-09-18 15:17:00,0.52
2023-09-18 15:18:00,0.52

